clusterName,f_score,PPV,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes
AT1,0.8651082582870282,0.9435736677115988,73626,54,488,903,1,['AGER'],"['AGER', 'SCEL', 'TNNC1', 'RTKN2', 'UPK3B', 'CLDN18', 'SLC39A8', 'AQP4', 'LMO7', 'TSPAN13']"
AT2,0.9479630545934357,0.9749787955894826,69565,118,790,4598,2,"['PGC', 'SFTPA1']","['ABCA3', 'LRRK2', 'LAMP3', 'PGC', 'PLA2G1B', 'SFTPA1', 'SFTPA2', 'NAPSA', 'CLDN18', 'SFTPD']"
AT2 proliferating,0.9848484848484849,1.0,75057,0,1,13,3,"['PRC1', 'PGC', 'HMMR']","['YBX2', 'SFN', 'KIF23', 'PRC1', 'PGC', 'HMMR', 'WIF1', 'CRTAC1', 'CENPF', 'NAPSA']"
Adventitial fibroblasts,0.8175223214285715,0.9766666666666667,74472,7,299,293,2,"['SFRP2', 'IGFBP6']","['SFRP2', 'MFAP5', 'SFRP4', 'PI16', 'PDGFRL', 'IGFBP6', 'OGN', 'CCDC80', 'MEDAG', 'FBLN1']"
Alveolar Mφ CCL3+,0.8479816915810489,0.9375504710632571,69162,232,2194,3483,2,"['CXCL5', 'TNIP3']","['TNFAIP6', 'CXCL5', 'TNIP3', 'IL1B', 'ITGB8', 'LILRA4', 'CXCL3', 'CXCL8', 'CCL20', 'BCL2A1']"
Alveolar Mφ proliferating,0.6769230769230768,0.7857142857142857,74845,24,114,88,3,"['DLGAP5', 'CEP55', 'CDK1']","['DLGAP5', 'CEP55', 'GTSE1', 'TROAP', 'CDK1', 'TK1', 'CENPA', 'UBE2C', 'TYMS', 'AURKB']"
Alveolar fibroblasts,0.8394388152766952,0.9430823117338003,73159,65,770,1077,2,"['SCN7A', 'GPC3']","['GDF10', 'SCN7A', 'FGFR4', 'CDH11', 'GPC3', 'FIBIN', 'LUM', 'FBLN1', 'MMP2', 'MFAP4']"
Alveolar macrophages,0.8360823122840088,0.8751712798026857,65156,911,2617,6387,3,"['LIPA', 'FABP4', 'APOC1']","['LIPA', 'GCHFR', 'FABP4', 'ACP5', 'MS4A4A', 'APOC1', 'C1QC', 'HLA-DQB2', 'C1QA', 'LYZ']"
B cells,0.9330833573694838,0.9923312883435583,74207,5,212,647,2,"['MS4A1', 'CD79A']","['MS4A1', 'BANK1', 'LINC00926', 'VPREB3', 'CD79B', 'CD79A', 'CD37', 'HLA-DRA', 'CD74']"
Basal resting,0.7600849256900213,0.7665952890792291,74475,109,129,358,1,['KRT17'],"['DLK2', 'CDH3', 'ALDH3A1', 'KRT15', 'KRT17', 'KRT5', 'ADH1C', 'MIR205HG', 'FHL2', 'S100A2']"
