clusterName,f_score,PPV,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes
B cell,0.294295201,0.316045381,73804,422,650,195,4,"['CCL20', 'CXCL5', 'IL1B', 'KYNU']","['TNFAIP6', 'TNIP3', 'CCL20', 'CXCL5', 'IL1B', 'KYNU', 'IL18', 'GBP1', 'IGSF6', 'BCL2A1']"
"CD4-positive, alpha-beta T cell",0.146250638,0.132571117,64787,6373,2937,974,3,"['HLA-DQA2', 'TYROBP', 'HLA-DPB1']","['HLA-DQA2', 'HLA-DRB6', 'TYROBP', 'HLA-DPA1', 'HLA-DRB1', 'HLA-DPB1', 'HLA-DRA', 'RPS26', 'TMSB10', 'B2M']"
"CD8-positive, alpha-beta T cell",0.224395048,0.282176028,68276,1623,4534,638,2,"['HLA-E', 'ITM2B']","['HLA-DPA1', 'HLA-E', 'ITM2B', 'HLA-C', 'B2M', 'RPLP1']"
adventitial cell,0.055658627,0.06,74372,282,399,18,3,"['TUBB', 'SRGN', 'RPS26']","['IFI27', 'TUBB', 'SRGN', 'RPS26', 'PFN1']"
basal cell,0.181437883,0.163453111,72011,1909,778,373,3,"['CCL5', 'NKG7', 'RPS4Y1']","['CCL5', 'PTPRCAP', 'NKG7', 'GZMB', 'CMC1', 'RPS4Y1', 'RPL17', 'RPL31', 'RPS27']"
basophil,0.204275534,0.201688555,71372,1702,1567,430,3,"['APOE', 'SOD2', 'S100A9']","['APOE', 'SOD2', 'S100A9', 'FTH1', 'ACTB']"
blood vessel endothelial cell,0.002901915,0.002336449,74633,427,10,1,1,['CYBA'],['CYBA']
bronchial smooth muscle cell,0.227363383,0.325714286,73728,236,993,114,2,"['LST1', 'RPS26']","['LST1', 'CRIP1', 'RPS26', 'HLA-A']"
capillary endothelial cell,0.361877343,0.433208656,55964,4243,11621,3243,3,"['SNHG5', 'RPS9', 'RPS18']","['SOCS3', 'SNHG5', 'HLA-E', 'RPS9', 'RPS4X', 'RPS18', 'RPL39', 'RPS26', 'RPL41', 'FTH1']"
classical monocyte,0.240981815,0.257567711,71142,1398,2046,485,3,"['EDNRB', 'CNN3', 'HLA-E']","['EDNRB', 'ADIRF', 'CNN3', 'HLA-E', 'HLA-C', 'HLA-B', 'S100A6', 'B2M']"
club cell,0.3609375,0.752442997,73023,76,1741,231,2,"['SCGB3A1', 'RPS4Y1']","['SCGB1A1', 'SCGB3A1', 'RPS4Y1', 'RPS26']"
dendritic cell,0.145600991,0.191056911,74242,199,583,47,3,"['BTG1', 'S100A4', 'RPS4X']","['IL32', 'CD52', 'BTG1', 'S100A4', 'RPS4X', 'SH3BGRL3']"
"effector CD4-positive, alpha-beta T cell",0.625,1,75067,0,3,1,2,"['TFRC', 'LIPA']","['CKS2', 'PRSS21', 'SIGLEC12', 'TFRC', 'LIPA', 'LTA4H', 'FDX1', 'LGALS1', 'GAPDH']"
endothelial cell of artery,0.071452875,0.077922078,72511,994,1482,84,2,"['HLA-C', 'B2M']","['FN1', 'HLA-DRB1', 'FTL', 'RPL41', 'HLA-C', 'B2M', 'HLA-B', 'TMSB4X', 'MT2A']"
endothelial cell of lymphatic vessel,0.191616766,0.385542169,74517,51,471,32,4,"['TMEM204', 'CNN3', 'PDLIM1', 'HLA-DRB1']","['TMEM204', 'AQP1', 'ESAM', 'CNN3', 'PDLIM1', 'HLA-DRB1']"
fibroblast,0.147115757,0.153846154,70971,1672,2124,304,4,"['ALOX5AP', 'RPS4Y1', 'RPL34', 'RPL41']","['SFTPC', 'ALOX5AP', 'RPS4Y1', 'SRGN', 'RPL34', 'RPL41', 'RPS27']"
lung ciliated cell,0.216394382,0.399470899,72867,227,1826,151,2,"['UCP2', 'YWHAZ']","['UCP2', 'LCP1', 'RPS4Y1', 'YWHAZ', 'FTH1']"
lung microvascular endothelial cell,0.1873297,0.187713311,74537,238,241,55,4,"['S100A3', 'SERPINE1', 'TINAGL1', 'CX3CL1']","['IL1RL1', 'S100A3', 'SERPINE1', 'TINAGL1', 'CSF1', 'CX3CL1', 'ICAM1', 'IRF1', 'IL32', 'CD83']"
macrophage,0.355284046,0.323133283,40980,18846,6248,8997,2,"['CRIP1', 'FTH1']","['CD52', 'CRIP1', 'LGALS3', 'RPS26', 'FTH1', 'RPS29', 'RPL41', 'GSTP1']"
